Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	B(x)	B(y)	B(z)	M(x)	M(y)	M(z)	N(x)	N(y)	N(z)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(O)	Var(%)	Rho-a(Om)	Cycles	IP Delay Window(mV/V)	Pint(V)	Pext(V)	T int(°C)	T log(°C)	Latitude	Longitude	
2017-05-22 10:45:14	20	32	1	7	0	0	10	0	0	8	0	0	9	0	0	8.5	0	0.519		9.98944	70.7616	5.57446	0	558.035	0.482019	3506.24	1		0.0088623	14.419	32.0604	0	0	0	
2017-05-22 10:45:04	16	33	1	0	0	0	3	0	0	1	0	0	2	0	0	1.5	0	0.519		9.99504	54.2178	6.82107	0	682.445	0.144614	4287.93	1		0.0088623	14.6139	32.0604	0	0	0	
2017-05-22 10:45:07	17	34	1	1	0	0	4	0	0	2	0	0	3	0	0	2.5	0	0.519		9.993	57.8245	6.37406	0	637.853	0.170814	4007.75	1		0.0088623	14.3126	32.0604	0	0	0	
2017-05-22 10:45:27	25	35	1	18	0	0	21	0	0	19	0	0	20	0	0	19.5	0	0.519		7.2344	97.2011	6.04105	0	835.046	1.02303	5246.75	1		0.0088623	14.4899	31.8005	0	0	0	
2017-05-22 10:45:22	23	36	1	13	0	0	16	0	0	14	0	0	15	0	0	14.5	0	0.519		9.99688	54.4077	7.57587	0	757.823	0.241948	4761.54	1		0.0088623	14.4899	31.8005	0	0	0	
2017-05-22 10:45:35	28	37	1	24	0	0	27	0	0	25	0	0	26	0	0	25.5	0	0.519		9.99249	64.1223	8.96617	0	897.291	0.0547569	5637.85	1		0.0088623	14.4544	31.5406	0	0	0	
2017-05-22 10:45:20	22	38	1	12	0	0	15	0	0	13	0	0	14	0	0	13.5	0	0.519		9.99429	62.7512	6.32164	0	632.525	0.0677472	3974.27	1		0.0088623	14.419	31.8005	0	0	0	
2017-05-22 10:45:30	26	39	1	19	0	0	22	0	0	20	0	0	21	0	0	20.5	0	0.519		7.49992	96.0245	7.12299	0	949.741	3.12348	5967.4	1		0.0088623	14.4544	31.6706	0	0	0	
2017-05-22 10:45:12	19	40	1	6	0	0	9	0	0	7	0	0	8	0	0	7.5	0	0.519		9.98756	74.1165	5.71622	0	572.334	0.424776	3596.08	1		0.0088623	14.4544	32.0604	0	0	0	
2017-05-22 10:45:40	30	41	1	26	0	0	29	0	0	27	0	0	28	0	0	27.5	0	0.519		9.99273	60.2631	8.1313	0	813.721	0.159855	5112.76	1		0.0088623	14.481	31.4107	0	0	0	
2017-05-22 10:45:25	24	42	1	14	0	0	17	0	0	15	0	0	16	0	0	15.5	0	0.519		9.99023	66.061	7.2159	0	722.295	0.127173	4538.32	1		0.0088623	14.4544	31.8005	0	0	0	
2017-05-22 10:45:38	29	43	1	25	0	0	28	0	0	26	0	0	27	0	0	26.5	0	0.519		9.99246	65.68	8.47761	0	848.401	0.0650368	5330.66	1		0.0088623	14.4544	31.4107	0	0	0	
2017-05-22 10:45:09	18	44	1	2	0	0	5	0	0	3	0	0	4	0	0	3.5	0	0.519		9.99422	52.7616	6.63093	0	663.477	0.177183	4168.75	1		0.0088623	14.3835	32.0604	0	0	0	
2017-05-22 10:45:17	21	45	1	8	0	0	11	0	0	9	0	0	10	0	0	9.5	0	0.519		9.99089	67.177	6.07179	0	607.733	0.240084	3818.5	1		0.0088623	14.4544	31.9304	0	0	0	
