Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	B(x)	B(y)	B(z)	M(x)	M(y)	M(z)	N(x)	N(y)	N(z)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(O)	Var(%)	Rho-a(Om)	Cycles	Pint(V)	Pext(V)	T int(°C)	Latitude	Longitude	
2017-05-24 22:25:34	27	31	1	20	0	0	23	0	0	21	0	0	22	0	0	21.5	0	0.519		2.25697	91.1577	4.43908	0	1966.83	0.00948367	12358	1	0.0088623	13.6745	29.7214	0	0	
2017-05-24 22:25:15	20	32	1	7	0	0	10	0	0	8	0	0	9	0	0	8.5	0	0.519		3.16913	92.3453	5.87553	0	1853.99	0.112252	11648.9	1	0.0088623	13.6036	30.1112	0	0	
2017-05-24 22:25:04	16	33	1	0	0	0	3	0	0	1	0	0	2	0	0	1.5	0	0.519		1.25877	69.67	2.73737	0	2174.64	6.87652	13663.7	1	0.0088623	13.7809	30.2411	0	0	
2017-05-24 22:25:29	25	35	1	18	0	0	21	0	0	19	0	0	20	0	0	19.5	0	0.519		2.03429	90.6574	4.05673	0	1994.18	0.241638	12529.8	1	0.0088623	13.7632	29.7214	0	0	
2017-05-24 22:25:31	26	39	1	19	0	0	22	0	0	20	0	0	21	0	0	20.5	0	0.519		1.95086	90.0263	5.60211	0	2871.61	0.120994	18042.8	1	0.0088623	13.6568	29.7214	0	0	
2017-05-24 22:25:12	19	40	1	6	0	0	9	0	0	7	0	0	8	0	0	7.5	0	0.519		3.0176	92.3115	5.52807	0	1831.94	0.072632	11510.4	1	0.0088623	13.6391	29.9813	0	0	
2017-05-24 22:25:42	30	41	1	26	0	0	29	0	0	27	0	0	28	0	0	27.5	0	0.519		1.73696	89.4812	3.89985	0	2245.21	9.4632	14107.1	1	0.0088623	13.6479	29.4615	0	0	
2017-05-24 22:25:40	29	43	1	25	0	0	28	0	0	26	0	0	27	0	0	26.5	0	0.519		1.1204	83.3802	2.67608	0	2388.51	2.44057	15007.5	1	0.0088623	13.6745	29.5914	0	0	
2017-05-24 22:25:09	18	44	1	2	0	0	5	0	0	3	0	0	4	0	0	3.5	0	0.519		1.83742	83.8079	3.89416	0	2119.37	12.4464	13316.4	1	0.0088623	13.8341	30.1112	0	0	
2017-05-24 22:25:17	21	45	1	8	0	0	11	0	0	9	0	0	10	0	0	9.5	0	0.519		3.24301	92.3987	6.26656	0	1932.33	0.0897863	12141.2	1	0.0088623	13.6745	30.1112	0	0	
