Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	B(x)	B(y)	B(z)	M(x)	M(y)	M(z)	N(x)	N(y)	N(z)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(O)	Var(%)	Rho-a(Om)	Cycles	IP Delay Window(mV/V)	Pint(V)	Pext(V)	T int(°C)	T log(°C)	Latitude	Longitude	
2017-06-07 09:25:44	12	1	1	20	0	0	23	0	0	21	0	0	22	0	0	21.5	0	0.519		50.0663	252.246	2.92751	0	58.4727	1.03729	367.395	2		0.0088623	13.7454	33.3599	0	0	0	
2017-06-07 09:25:20	5	2	1	7	0	0	10	0	0	8	0	0	9	0	0	8.5	0	0.519		50.0511	317.871	2.19607	0	43.8766	0.51285	275.685	2		0.0088623	13.9759	34.1395	0	0	0	
2017-06-07 09:25:09	2	4	1	1	0	0	4	0	0	2	0	0	3	0	0	2.5	0	0.519		29.2495	514.066	8.19338	0	280.12	6.37918	1760.05	2		0.0088623	14.0556	34.1395	0	0	0	
2017-06-07 09:25:38	10	5	1	18	0	0	21	0	0	19	0	0	20	0	0	19.5	0	0.519		50	483.405	33.3775	0	667.55	1.45374	4194.34	2		0.0088623	14.0999	33.6197	0	0	0	
2017-06-07 09:25:31	8	6	1	13	0	0	16	0	0	14	0	0	15	0	0	14.5	0	0.519		50.0541	326.709	277.562	0	5545.25	5.59198	34841.8	2		0.0088623	13.9581	33.8796	0	0	0	
2017-06-07 09:25:48	13	7	1	24	0	0	27	0	0	25	0	0	26	0	0	25.5	0	0.519		50.0026	472.122	18.9314	0	378.608	0.116562	2378.86	2		0.0088623	14.1531	33.4898	0	0	0	
2017-06-07 09:25:41	11	9	1	19	0	0	22	0	0	20	0	0	21	0	0	20.5	0	0.519		50.013	455.501	86.0295	0	1720.14	0.393162	10808	2		0.0088623	13.9847	33.7497	0	0	0	
2017-06-07 09:25:17	4	10	1	6	0	0	9	0	0	7	0	0	8	0	0	7.5	0	0.519		50.0561	316.723	83.9397	0	1676.91	0.0436768	10536.4	2		0.0088623	14.0468	34.1395	0	0	0	
2017-06-07 09:25:56	15	11	1	26	0	0	29	0	0	27	0	0	28	0	0	27.5	0	0.519		9.14175	379.551	1.41202	0	154.459	7.64406	970.492	2		0.0088623	14.0999	33.3599	0	0	0	
2017-06-07 09:25:34	9	12	1	14	0	0	17	0	0	15	0	0	16	0	0	15.5	0	0.519		50.049	336.989	1.94127	0	38.7873	0.666783	243.708	2		0.0088623	14.1442	33.6197	0	0	0	
2017-06-07 09:25:51	14	13	1	25	0	0	28	0	0	26	0	0	27	0	0	26.5	0	0.519		8.35294	438.453	0.608227	0	72.8159	19.0739	457.516	2		0.0088623	13.7986	33.3599	0	0	0	
2017-06-07 09:25:13	3	14	1	2	0	0	5	0	0	3	0	0	4	0	0	3.5	0	0.519		50.0298	388.879	133.487	0	2668.15	0.751017	16764.5	2		0.0088623	13.9936	34.1395	0	0	0	
2017-06-07 09:25:24	6	15	1	8	0	0	11	0	0	9	0	0	10	0	0	9.5	0	0.519		50.0658	245.345	178.345	0	3562.21	2.53235	22382.1	2		0.0088623	13.7986	34.1395	0	0	0	
