Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	B(x)	B(y)	B(z)	M(x)	M(y)	M(z)	N(x)	N(y)	N(z)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(O)	Var(%)	Rho-a(Om)	Cycles	Pint(V)	Pext(V)	T int(°C)	Latitude	Longitude	
2017-06-08 21:05:39	1047	2071	1	20	0	0	23	0	0	21	0	0	22	0	0	21.5	0	0.519		49.9943	453.921	19.025	0	380.542	1.63396	2391.02	2	0.0088623	12.8238	29.8513	0	0	
2017-06-08 21:05:16	1040	2072	1	7	0	0	10	0	0	8	0	0	9	0	0	8.5	0	0.519		49.976	553.476	1.28738	0	25.7601	20.3582	161.855	2	0.0088623	13.001	30.2411	0	0	
2017-06-08 21:05:06	1037	2074	1	1	0	0	4	0	0	2	0	0	3	0	0	2.5	0	0.519		27.1087	565.061	19.8675	0	732.883	1.29409	4604.84	2	0.0088623	13.0364	30.1112	0	0	
2017-06-08 21:05:43	1048	2077	1	24	0	0	27	0	0	25	0	0	26	0	0	25.5	0	0.519		19.1843	500.216	14.888	0	776.052	0.901443	4876.08	2	0.0088623	12.9301	29.7214	0	0	
2017-06-08 21:05:22	1042	2078	1	12	0	0	15	0	0	13	0	0	14	0	0	13.5	0	0.519		42.4589	546.837	2.60139	0	61.2684	2.55547	384.961	2	0.0088623	12.9656	30.2411	0	0	
2017-06-08 21:05:36	1046	2079	1	19	0	0	22	0	0	20	0	0	21	0	0	20.5	0	0.519		27.4687	548.874	129.579	0	4717.32	0.811509	29639.8	2	0.0088623	12.8326	29.9813	0	0	
2017-06-08 21:05:13	1039	2080	1	6	0	0	9	0	0	7	0	0	8	0	0	7.5	0	0.519		44.3151	557.322	135.897	0	3066.61	0.0385129	19268.1	2	0.0088623	13.0099	30.2411	0	0	
2017-06-08 21:05:50	1050	2081	1	26	0	0	29	0	0	27	0	0	28	0	0	27.5	0	0.519		9.98387	353.994	8.12194	0	813.506	0.636207	5111.41	2	0.0088623	13.0187	29.7214	0	0	
2017-06-08 21:05:30	1044	2082	1	14	0	0	17	0	0	15	0	0	16	0	0	15.5	0	0.519		41.7257	444.48	2.2196	0	53.195	0.409082	334.234	2	0.0088623	12.7883	29.9813	0	0	
2017-06-08 21:05:10	1038	2084	1	2	0	0	5	0	0	3	0	0	4	0	0	3.5	0	0.519		34.3534	541.967	263.846	0	7680.34	0.693999	48257	2	0.0088623	12.9124	30.1112	0	0	
2017-06-08 21:05:19	1041	2085	1	8	0	0	11	0	0	9	0	0	10	0	0	9.5	0	0.519		50.024	377.71	284.806	0	5693.38	1.44433	35772.6	2	0.0088623	12.9833	30.2411	0	0	
