Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	B(x)	B(y)	B(z)	M(x)	M(y)	M(z)	N(x)	N(y)	N(z)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(O)	Var(%)	Rho-a(Om)	Cycles	Pint(V)	Pext(V)	T int(°C)	Latitude	Longitude	
2017-07-01 21:25:43	1062	2101	1	20	0	0	23	0	0	21	0	0	22	0	0	21.5	0	0.519		8.38319	439.15	128.125	0	15283.6	0.352092	96029.7	2	0.0088623	13.6036	29.4615	0	0	
2017-07-01 21:25:19	1055	2102	1	7	0	0	10	0	0	8	0	0	9	0	0	8.5	0	0.519		9.55227	463.569	2.93739	0	307.507	0.121398	1932.12	2	0.0088623	13.6923	29.9813	0	0	
2017-07-01 21:25:04	1051	2103	1	0	0	0	3	0	0	1	0	0	2	0	0	1.5	0	0.519		1.40519	417.916	46.6147	0	33173.3	2.70049	208434	2	0.0088623	13.7986	30.1112	0	0	
2017-07-01 21:25:08	1052	2104	1	1	0	0	4	0	0	2	0	0	3	0	0	2.5	0	0.519		50.0665	110.85	0.416151	0	8.31195	35.2366	52.2255	2	0.0088623	13.5327	30.1112	0	0	
2017-07-01 21:25:36	1060	2105	1	18	0	0	21	0	0	19	0	0	20	0	0	19.5	0	0.519		50.0766	56.3584	17.9052	0	357.557	0.568463	2246.59	2	0.0088623	13.6745	29.5914	0	0	
2017-07-01 21:25:29	1058	2106	1	13	0	0	16	0	0	14	0	0	15	0	0	14.5	0	0.519		8.87333	489.35	221.067	0	24913.6	4.23125	156537	2	0.0088623	13.6391	29.7214	0	0	
2017-07-01 21:25:46	1063	2107	1	24	0	0	27	0	0	25	0	0	26	0	0	25.5	0	0.519		3.81411	455.058	2.18409	0	572.635	4.94276	3597.97	2	0.0088623	13.71	29.3315	0	0	
2017-07-01 21:25:25	1057	2108	1	12	0	0	15	0	0	13	0	0	14	0	0	13.5	0	0.519		3.55125	418.75	0.99318	0	279.67	2.76063	1757.22	2	0.0088623	13.7277	29.7214	0	0	
2017-07-01 21:25:15	1054	2110	1	6	0	0	9	0	0	7	0	0	8	0	0	7.5	0	0.519		9.33882	479.917	33.7434	0	3613.24	13.1137	22702.6	2	0.0088623	13.71	29.9813	0	0	
2017-07-01 21:25:53	1065	2111	1	26	0	0	29	0	0	27	0	0	28	0	0	27.5	0	0.519		2.74224	480.015	2.05009	0	747.598	2.51262	4697.3	2	0.0088623	13.6745	29.2016	0	0	
2017-07-01 21:25:33	1059	2112	1	14	0	0	17	0	0	15	0	0	16	0	0	15.5	0	0.519		9.85796	475.892	6.76823E-5	0	0.00686575	0.754652	0.0431388	2	0.0088623	13.71	29.7214	0	0	
2017-07-01 21:25:50	1064	2113	1	25	0	0	28	0	0	26	0	0	27	0	0	26.5	0	0.519		3.80206	497.931	1.76133	0	463.256	1.73606	2910.72	2	0.0088623	13.6923	29.3315	0	0	
2017-07-01 21:25:11	1053	2114	1	2	0	0	5	0	0	3	0	0	4	0	0	3.5	0	0.519		9.05565	518.962	171.197	0	18905	5.58157	118784	2	0.0088623	13.6745	30.1112	0	0	
2017-07-01 21:25:22	1056	2115	1	8	0	0	11	0	0	9	0	0	10	0	0	9.5	0	0.519		7.83866	445.891	148.795	0	18982.2	4.45609	119269	2	0.0088623	13.5948	29.7214	0	0	
