Time	Temperature [°C]	Status	Temperature [°C]	Status
	325 02271 (Address: 1)	325 02271 (Address: 1)	325 02272 (Address: 1)	325 02272 (Address: 1)
	GMH 3750	GMH 3750	GMH 3750	GMH 3750
	Record index 1	Record index 1	Record index 1	Record index 1
07.06.2017 10:44	10,42		10,39	
07.06.2017 10:45	10,4		10,38	
07.06.2017 10:45	10,4		10,38	
07.06.2017 10:46	10,38		10,39	
07.06.2017 10:46	10,38		10,38	
07.06.2017 10:47	10,37		10,38	
07.06.2017 10:47	10,36		10,38	
07.06.2017 10:48	10,5		10,38	
07.06.2017 10:48	10,86		10,38	
07.06.2017 10:49	10,76		10,38	
07.06.2017 10:49	10,64		10,38	
07.06.2017 10:50	10,55		10,38	
07.06.2017 10:50	10,48		10,38	
07.06.2017 10:51	10,42		10,38	
07.06.2017 10:51	10,37		10,38	
07.06.2017 10:52	10,33		10,38	
07.06.2017 10:52	10,31		10,38	
07.06.2017 10:53	10,3		10,37	
07.06.2017 10:53	10,27		10,37	
07.06.2017 10:54	10,26		10,37	
07.06.2017 10:54	10,26		10,37	
07.06.2017 10:55	10,25		10,37	
07.06.2017 10:55	10,26		10,37	
07.06.2017 10:56	10,27		10,37	
07.06.2017 10:56	10,28		10,36	
07.06.2017 10:57	10,29		10,37	
07.06.2017 10:57	10,29		10,36	
07.06.2017 10:58	10,3		10,36	
07.06.2017 10:58	10,3		10,35	
07.06.2017 10:59	10,31		10,36	
07.06.2017 10:59	10,32		10,36	
07.06.2017 11:00	10,33		10,36	
07.06.2017 11:00	10,32		10,35	
07.06.2017 11:01	10,32		10,35	
07.06.2017 11:01	10,32		10,35	
07.06.2017 11:02	10,33		10,35	
07.06.2017 11:02	10,32		10,35	
07.06.2017 11:03	10,32		10,35	
07.06.2017 11:03	10,32		10,35	
07.06.2017 11:04	10,32		10,35	
07.06.2017 11:04	10,32		10,35	
07.06.2017 11:05	10,32		10,35	
07.06.2017 11:05	10,32		10,35	
07.06.2017 11:06	10,32		10,33	
07.06.2017 11:06	10,33		10,38	
07.06.2017 11:07	10,33		10,33	
07.06.2017 11:07	10,32		10,35	
07.06.2017 11:08	10,32		10,35	
07.06.2017 11:08	10,32		10,35	
07.06.2017 11:09	10,32		10,34	
07.06.2017 11:09	10,31		10,34	
07.06.2017 11:10	10,3		10,34	
07.06.2017 11:10	10,3		10,34	
07.06.2017 11:11	10,3		10,34	
07.06.2017 11:11	10,3		10,34	
07.06.2017 11:12	10,29		10,34	
07.06.2017 11:12	10,3		10,33	
07.06.2017 11:13	10,3		10,33	
07.06.2017 11:13	10,3		10,33	
07.06.2017 11:14	10,29		10,33	
07.06.2017 11:14	10,29		10,33	
07.06.2017 11:15	10,28		10,32	
07.06.2017 11:15	10,29		10,33	
07.06.2017 11:16	10,29		10,33	
07.06.2017 11:16	10,29		10,33	
07.06.2017 11:17	10,28		10,32	
07.06.2017 11:17	10,29		10,33	
07.06.2017 11:18	10,28		10,32	
07.06.2017 11:18	10,28		10,32	
07.06.2017 11:19	10,28		10,32	
07.06.2017 11:19	10,28		10,32	
07.06.2017 11:20	10,28		10,32	
07.06.2017 11:20	10,29		10,32	
07.06.2017 11:21	10,28		10,32	
07.06.2017 11:21	10,27		10,32	
07.06.2017 11:22	10,28		10,32	
07.06.2017 11:22	10,28		10,32	
07.06.2017 11:23	10,27		10,31	
07.06.2017 11:23	10,27		10,32	
07.06.2017 11:24	10,27		10,32	
07.06.2017 11:24	10,27		10,32	
07.06.2017 11:25	10,26		10,32	
07.06.2017 11:25	10,26		10,31	
07.06.2017 11:26	10,27		10,31	
07.06.2017 11:26	10,27		10,3	
07.06.2017 11:27	10,26		10,3	
07.06.2017 11:27	10,26		10,31	
07.06.2017 11:28	10,24		10,3	
07.06.2017 11:28	10,19		10,3	
07.06.2017 11:29	10,12		10,29	
07.06.2017 11:29	10,04		10,3	
07.06.2017 11:30	9,97		10,29	
07.06.2017 11:30	9,88		10,29	
07.06.2017 11:31	9,76		10,28	
07.06.2017 11:31	9,67		10,28	
07.06.2017 11:32	9,62		10,27	
07.06.2017 11:32	9,55		10,26	
07.06.2017 11:33	9,48		10,25	
07.06.2017 11:33	9,43		10,25	
07.06.2017 11:34	9,4		10,24	
07.06.2017 11:34	9,37		10,24	
07.06.2017 11:35	9,33		10,23	
07.06.2017 11:35	9,28		10,22	
07.06.2017 11:36	9,26		10,22	
07.06.2017 11:36	9,23		10,21	
07.06.2017 11:37	9,16		10,19	
07.06.2017 11:37	9,12		10,19	
07.06.2017 11:38	9,08		10,18	
07.06.2017 11:38	9,08		10,16	
07.06.2017 11:39	9,09		10,15	
07.06.2017 11:39	9,05		10,15	
07.06.2017 11:40	9,02		10,13	
07.06.2017 11:40	9,01		10,12	
07.06.2017 11:41	9,01		10,11	
07.06.2017 11:41	8,96		10,1	
07.06.2017 11:42	8,91		10,09	
07.06.2017 11:42	8,89		10,06	
07.06.2017 11:43	8,87		10,06	
07.06.2017 11:43	8,89		10,04	
07.06.2017 11:44	8,87		10,03	
07.06.2017 11:44	8,83		10,02	
07.06.2017 11:45	8,79		10,01	
07.06.2017 11:45	8,79		9,95	
07.06.2017 11:46	8,8		9,97	
07.06.2017 11:46	8,75		9,96	
07.06.2017 11:47	8,69		9,95	
07.06.2017 11:47	8,66		9,93	
07.06.2017 11:48	8,66		9,92	
07.06.2017 11:48	8,67		9,91	
07.06.2017 11:49	8,67		9,89	
07.06.2017 11:49	8,64		9,87	
07.06.2017 11:50	8,6		9,86	
07.06.2017 11:50	8,6		9,85	
07.06.2017 11:51	8,6		9,83	
07.06.2017 11:51	8,57		9,82	
07.06.2017 11:52	8,52		9,8	
07.06.2017 11:52	8,48		9,79	
07.06.2017 11:53	8,47		9,77	
07.06.2017 11:53	8,46		9,76	
07.06.2017 11:54	8,47		9,74	
07.06.2017 11:54	8,47		9,73	
07.06.2017 11:55	8,41		9,71	
07.06.2017 11:55	8,37		9,7	
