Time;Temperature [°C];Status;Temperature [°C];Status;
;325 02271 (Address: 1);325 02271 (Address: 1);325 02272 (Address: 1);325 02272 (Address: 1);
;GMH 3750;GMH 3750;GMH 3750;GMH 3750;
;Record index 1;Record index 1;Record index 1;Record index 1;
29/06/2017 10:58:52.0;20.09;;18.97;;
29/06/2017 10:59:23.0;20.07;;18.95;;
29/06/2017 10:59:53.0;20.06;;18.95;;
29/06/2017 11:00:23.0;20.03;;18.94;;
29/06/2017 11:00:53.0;20.02;;18.93;;
29/06/2017 11:01:23.0;20;;18.92;;
29/06/2017 11:01:53.0;19.99;;18.91;;
29/06/2017 11:02:23.0;19.96;;18.9;;
29/06/2017 11:02:53.0;19.95;;18.87;;
29/06/2017 11:03:23.0;19.94;;18.87;;
29/06/2017 11:03:53.0;19.92;;18.84;;
29/06/2017 11:04:23.0;19.9;;18.84;;
29/06/2017 11:04:53.0;19.9;;18.83;;
29/06/2017 11:05:23.0;19.86;;18.82;;
29/06/2017 11:05:53.0;19.85;;18.8;;
29/06/2017 11:06:23.0;19.83;;18.78;;
29/06/2017 11:06:53.0;19.83;;18.76;;
29/06/2017 11:07:23.0;19.8;;18.75;;
29/06/2017 11:07:53.0;19.79;;18.74;;
29/06/2017 11:08:23.0;19.77;;18.72;;
29/06/2017 11:08:53.0;19.76;;18.71;;
29/06/2017 11:09:23.0;19.73;;18.7;;
29/06/2017 11:09:53.0;19.72;;18.68;;
29/06/2017 11:10:23.0;19.7;;18.68;;
29/06/2017 11:10:53.0;19.69;;18.66;;
29/06/2017 11:11:23.0;19.68;;18.65;;
29/06/2017 11:11:53.0;19.66;;18.63;;
29/06/2017 11:12:23.0;19.65;;18.62;;
29/06/2017 11:12:53.0;19.63;;18.61;;
29/06/2017 11:13:23.0;19.61;;18.59;;
29/06/2017 11:13:53.0;19.6;;18.58;;
29/06/2017 11:14:23.0;19.58;;18.57;;
29/06/2017 11:14:53.0;19.56;;18.54;;
29/06/2017 11:15:23.0;19.55;;18.54;;
29/06/2017 11:15:53.0;19.54;;18.52;;
29/06/2017 11:16:23.0;19.52;;18.51;;
29/06/2017 11:16:53.0;19.49;;18.49;;
29/06/2017 11:17:23.0;19.34;;18.55;;
29/06/2017 11:17:53.0;19.48;;18.47;;
29/06/2017 11:18:23.0;19.46;;18.45;;
29/06/2017 11:18:53.0;19.45;;18.43;;
29/06/2017 11:19:23.0;19.44;;18.41;;
29/06/2017 11:19:53.0;19.42;;18.4;;
29/06/2017 11:20:23.0;19.4;;18.38;;
29/06/2017 11:20:53.0;19.4;;18.38;;
29/06/2017 11:21:23.0;19.38;;18.38;;
29/06/2017 11:21:53.0;19.36;;18.36;;
29/06/2017 11:22:23.0;19.35;;18.34;;
29/06/2017 11:22:53.0;19.33;;18.31;;
29/06/2017 11:23:23.0;19.32;;18.31;;
29/06/2017 11:23:53.0;19.3;;18.29;;
29/06/2017 11:24:23.0;19.29;;18.28;;
29/06/2017 11:24:53.0;19.28;;18.28;;
29/06/2017 11:25:23.0;19.26;;18.25;;
29/06/2017 11:25:53.0;19.24;;18.24;;
29/06/2017 11:26:23.0;19.24;;18.23;;
29/06/2017 11:26:53.0;19.22;;18.22;;
29/06/2017 11:27:23.0;19.2;;18.21;;
29/06/2017 11:27:53.0;19.19;;18.19;;
29/06/2017 11:28:23.0;19.18;;18.18;;
29/06/2017 11:28:53.0;19.16;;18.16;;
29/06/2017 11:29:23.0;19.15;;18.15;;
29/06/2017 11:29:53.0;19.14;;18.13;;
29/06/2017 11:30:23.0;19.12;;18.13;;
29/06/2017 11:30:53.0;19.11;;18.12;;
29/06/2017 11:31:23.0;19.09;;18.11;;
29/06/2017 11:31:53.0;19.08;;18.08;;
29/06/2017 11:32:23.0;19.07;;18.07;;
29/06/2017 11:32:53.0;19.06;;18.05;;
29/06/2017 11:33:24.0;19.04;;18.05;;
29/06/2017 11:33:54.0;19.03;;18.01;;
29/06/2017 11:34:24.0;19.01;;17.92;;
29/06/2017 11:34:54.0;18.99;;17.8;;
29/06/2017 11:35:24.0;18.98;;17.65;;
29/06/2017 11:35:54.0;18.96;;17.52;;
29/06/2017 11:36:24.0;18.94;;17.4;;
29/06/2017 11:36:54.0;18.92;;17.26;;
29/06/2017 11:37:24.0;18.9;;17;;
29/06/2017 11:37:54.0;18.87;;16.78;;
29/06/2017 11:38:24.0;18.84;;16.63;;
29/06/2017 11:38:54.0;18.81;;16.54;;
29/06/2017 11:39:24.0;18.78;;16.41;;
29/06/2017 11:39:54.0;18.75;;16.16;;
29/06/2017 11:40:24.0;18.72;;15.93;;
29/06/2017 11:40:54.0;18.69;;15.79;;
29/06/2017 11:41:24.0;18.65;;15.7;;
29/06/2017 11:41:54.0;18.62;;15.61;;
29/06/2017 11:42:24.0;18.59;;15.41;;
29/06/2017 11:42:54.0;18.53;;15.26;;
29/06/2017 11:43:24.0;18.5;;15.22;;
29/06/2017 11:43:54.0;18.46;;15.28;;
29/06/2017 11:44:24.0;18.43;;15.35;;
29/06/2017 11:44:54.0;18.39;;15.42;;
29/06/2017 11:45:24.0;18.35;;15.44;;
29/06/2017 11:45:54.0;18.24;;15.56;;
29/06/2017 11:46:24.0;18.27;;15.4;;
29/06/2017 11:46:54.0;18.23;;15.26;;
29/06/2017 11:47:24.0;18.2;;15.14;;
29/06/2017 11:47:54.0;18.15;;15.02;;
29/06/2017 11:48:24.0;18.11;;14.92;;
29/06/2017 11:48:54.0;18.07;;14.87;;
29/06/2017 11:49:24.0;18.03;;14.89;;
29/06/2017 11:49:54.0;17.99;;14.93;;
29/06/2017 11:50:24.0;17.95;;14.96;;
29/06/2017 11:50:54.0;17.91;;14.99;;
29/06/2017 11:51:24.0;17.88;;15;;
29/06/2017 11:51:54.0;17.84;;14.91;;
29/06/2017 11:52:24.0;17.79;;14.7;;
29/06/2017 11:52:54.0;17.75;;14.52;;
29/06/2017 11:53:24.0;17.71;;14.44;;
29/06/2017 11:53:54.0;17.66;;14.42;;
